"tweet_id","hashtag_name","time"
"1033","#crookedhillary               ","2016-08-26T18:55:26      "
"1035","#womensequalityday            ","2016-08-26T17:14:09      "
"1038","#womensequalityday            ","2016-08-26T16:24:51      "
"1042","#womensequalityday            ","2016-08-26T14:50:06      "
"1052","#flashbackfriday              ","2016-08-26T02:47:34      "
"1058","#nps100                       ","2016-08-25T22:11:54      "
"1065","#crookedhillary's             ","2016-08-25T20:01:17      "
"1104","#nps100                       ","2016-08-25T12:44:55      "
"1107","#maga                         ","2016-08-25T01:49:04      "
"1107","#brexit                       ","2016-08-25T01:49:04      "
"1112","#buildthewall                 ","2016-08-24T23:10:03      "
"1112","#hannity                      ","2016-08-24T23:10:03      "
"1114","#imwithyou                    ","2016-08-24T22:03:08      "
"1114","#americafirst                 ","2016-08-24T22:03:08      "
"1116","#trumppence16                 ","2016-08-24T21:02:26      "
"1122","#makeamericagreatagain        ","2016-08-24T16:42:04      "
"1123","#makeamericagreatagain        ","2016-08-24T15:35:50      "
"1125","#makeamericasafeagain         ","2016-08-24T14:01:46      "
"1129","#makeamericagreatagain        ","2016-08-24T01:22:19      "
"1132","#imwithher                    ","2016-08-23T22:41:04      "
"1134","#diwali                       ","2016-08-23T21:21:59      "
"1136","#blackwomensequalpay          ","2016-08-23T19:36:47      "
"1139","#laflood                      ","2016-08-23T17:50:20      "
"1144","#smallbiz                     ","2016-08-23T14:46:58      "
"1175","#teamtrump                    ","2016-08-22T01:23:16      "
"1176","#trumppence16                 ","2016-08-22T01:19:06      "
"1176","#maga                         ","2016-08-22T01:19:06      "
"1193","#maga                         ","2016-08-20T23:04:02      "
"1194","#trumppence16                 ","2016-08-20T23:02:37      "
"1202","#trumppence16                 ","2016-08-20T17:12:16      "
"1206","#alwaystrump                  ","2016-08-20T02:05:02      "
"1206","#maga                         ","2016-08-20T02:05:02      "
"1208","#standwithlouisiana           ","2016-08-20T00:17:09      "
"1209","#whereshillary                ","2016-08-19T23:45:16      "
"1215","#trumppence16                 ","2016-08-19T22:01:52      "
"1217","#whd                          ","2016-08-19T21:00:07      "
"1224","#trumptrain                   ","2016-08-19T13:27:10      "
"1224","#imwithyou                    ","2016-08-19T13:27:10      "
"1230","#makeamericagreatagain        ","2016-08-19T00:33:54      "
"1236","#rosanelleaton                ","2016-08-18T21:26:20      "
"1253","#imwithyou                    ","2016-08-17T21:13:07      "
"1253","#makeamericagreatagain        ","2016-08-17T21:13:07      "
"1256","#obamacare                    ","2016-08-17T19:31:16      "
"1266","#imwithyou                    ","2016-08-17T16:36:37      "
"1267","#imwithyou                    ","2016-08-17T13:24:41      "
"1267","#makeamericagreatagain        ","2016-08-17T13:24:41      "
"1268","#imwithyou                    ","2016-08-17T13:09:10      "
"1270","#imwithyou                    ","2016-08-17T04:22:01      "
"1270","#lawandorder                  ","2016-08-17T04:22:01      "
"1271","#imwithyou                    ","2016-08-17T02:59:17      "
"1271","#lawandorder                  ","2016-08-17T02:59:17      "
"1273","#makeamericagreatagain        ","2016-08-17T01:48:07      "
"1281","#obamacare                    ","2016-08-16T18:00:56      "
"1294","#daca                         ","2016-08-15T20:45:36      "
"1299","#extremevetting               ","2016-08-15T18:39:11      "
"1351","#usa                          ","2016-08-13T20:06:38      "
"1351","#makeamericagreatagain        ","2016-08-13T20:06:38      "
"1356","#trumptrain                   ","2016-08-13T18:39:26      "
"1367","#makeamericagreatagain        ","2016-08-12T19:47:13      "
"1370","#youthday                     ","2016-08-12T17:36:31      "
"1371","#maga                         ","2016-08-12T17:16:32      "
"1388","#tbt                          ","2016-08-11T23:03:00      "
"1429","#makeamericagreatagain        ","2016-08-11T02:07:07      "
"1442","#makeamericagreatagain        ","2016-08-10T20:49:33      "
"1444","#maga                         ","2016-08-10T19:49:58      "
"1455","#lesm                         ","2016-08-10T17:01:37      "
"1462","#trumppence16                 ","2016-08-10T00:18:12      "
"1464","#trumppence16                 ","2016-08-09T23:20:49      "
"1467","#makeamericagreatagain        ","2016-08-09T20:49:42      "
"1468","#neverhillary                 ","2016-08-09T20:49:38      "
"1468","#defendthesecond              ","2016-08-09T20:49:38      "
"1468","#2a                           ","2016-08-09T20:49:38      "
"1468","#electionday                  ","2016-08-09T20:49:38      "
"1469","#neverhillary                 ","2016-08-09T20:15:16      "
"1469","#scotus                       ","2016-08-09T20:15:16      "
"1477","#neverhillary                 ","2016-08-09T12:01:33      "
"1477","#maga                         ","2016-08-09T12:01:33      "
"1491","#makeamericagreatagain        ","2016-08-08T22:12:21      "
"1497","#smallbiz                     ","2016-08-08T19:56:04      "
"1497","#taxplan                      ","2016-08-08T19:56:04      "
"1506","#nevertrump                   ","2016-08-08T17:17:05      "
"1520","#icymi                        ","2016-08-07T23:09:08      "
"1527","#purpleheartday               ","2016-08-07T19:32:03      "
"1529","#imwithhernandez              ","2016-08-07T17:27:20      "
"1530","#virwinia                     ","2016-08-07T17:15:55      "
"1537","#maga                         ","2016-08-07T02:03:39      "
"1537","#trumppence16                 ","2016-08-07T02:03:39      "
"1542","#demconvention                ","2016-08-06T21:37:06      "
"1543","#restorethevra                ","2016-08-06T20:59:02      "
"1546","#trumppence16                 ","2016-08-06T19:12:34      "
"1546","#crookedhillary               ","2016-08-06T19:12:34      "
"1551","#ugpride2016                  ","2016-08-06T16:05:14      "
"1552","#restorethevra                ","2016-08-06T14:48:14      "
"1557","#rio2016                      ","2016-08-06T02:57:11      "
"1557","#openingceremony              ","2016-08-06T02:57:11      "
"1557","#teamusa                      ","2016-08-06T02:57:11      "
"1559","#maga                         ","2016-08-06T00:05:12      "
"1559","#trumppence16                 ","2016-08-06T00:05:12      "
"1561","#trumppence16                 ","2016-08-05T23:41:11      "
"1563","#trumptrain                   ","2016-08-05T22:33:04      "
"1563","#maga                         ","2016-08-05T22:33:04      "
"1572","#nabjnahj16                   ","2016-08-05T16:49:25      "
"1594","#makeamericagreatagain        ","2016-08-04T22:05:34      "
"1604","#coastguardday                ","2016-08-04T19:16:00      "
"1609","#maga                         ","2016-08-04T15:16:04      "
"1613","#makeamericagreatagain        ","2016-08-04T00:08:07      "
"1615","#imwithyou                    ","2016-08-03T22:10:11      "
"1615","#maga                         ","2016-08-03T22:10:11      "
"1616","#maga                         ","2016-08-03T21:57:07      "
"1616","#lesm                         ","2016-08-03T21:57:07      "
"1617","#makeamericagreatagain        ","2016-08-03T21:51:34      "
"1646","#icymi                        ","2016-08-02T18:26:31      "
"1648","#makeamericagreatagain        ","2016-08-02T17:47:19      "
"1652","#imwithyou                    ","2016-08-02T16:09:45      "
"1654","#demconvention                ","2016-08-02T15:32:27      "
"1656","#imwithher                    ","2016-08-02T14:32:04      "
"1656","#demconvention                ","2016-08-02T14:32:04      "
"1659","#crookedhillary               ","2016-08-02T02:01:57      "
"1661","#maga                         ","2016-08-02T01:40:37      "
"1662","#maga                         ","2016-08-02T01:33:45      "
"1662","#trumpmovement                ","2016-08-02T01:33:45      "
"1672","#maga                         ","2016-08-01T21:27:53      "
"1672","#imwithyou                    ","2016-08-01T21:27:53      "
"1674","#maga                         ","2016-08-01T20:40:27      "
"1674","#imwithyou                    ","2016-08-01T20:40:27      "
"1675","#imwithyou                    ","2016-08-01T19:48:56      "
"1675","#makeamericagreatagain        ","2016-08-01T19:48:56      "
"1701","#msm                          ","2016-07-31T20:09:00      "
"1701","#voterfraud                   ","2016-07-31T20:09:00      "
"1715","#1                            ","2016-07-30T22:31:28      "
"1722","#crookedhillary               ","2016-07-30T21:51:25      "
"1739","#imwithher                    ","2016-07-30T16:29:17      "
"1742","#khizrkhan                    ","2016-07-30T14:19:56      "
"1744","#maga                         ","2016-07-30T14:02:18      "
"1750","#trump2016                    ","2016-07-30T03:22:57      "
"1751","#makeamericagreatagain        ","2016-07-30T03:03:43      "
"1754","#crookedhillary               ","2016-07-30T00:34:52      "
"1755","#lesm                         ","2016-07-30T00:19:17      "
"1755","#makeamericagreatagain        ","2016-07-30T00:19:17      "
"1772","#trumppence16                 ","2016-07-29T16:56:30      "
"1778","#neverhillary                 ","2016-07-29T13:59:42      "
"1780","#neverhillary                 ","2016-07-29T13:44:54      "
"1845","#strongertogether             ","2016-07-29T02:45:04      "
"1877","#demconvention                ","2016-07-29T01:14:22      "
"1884","#demsinphilly                 ","2016-07-28T23:03:33      "
"1886","#demsinphilly                 ","2016-07-28T22:22:46      "
"1887","#demsinphilly                 ","2016-07-28T22:20:04      "
"1887","#demconvention                ","2016-07-28T22:20:04      "
"1891","#maga                         ","2016-07-28T20:56:09      "
"1891","#tbt                          ","2016-07-28T20:56:09      "
"1898","#demsinphilly                 ","2016-07-28T15:48:56      "
"1899","#maga                         ","2016-07-28T15:30:06      "
"1903","#dnc                          ","2016-07-28T13:13:24      "
"1907","#demsinphilly                 ","2016-07-28T03:44:01      "
"1907","#nato                         ","2016-07-28T03:44:01      "
"1989","#demsinphilly                 ","2016-07-28T01:03:46      "
"2000","#stopgunviolence              ","2016-07-28T00:01:31      "
"2001","#makeamericagreatagain        ","2016-07-28T00:01:10      "
"2003","#imwithher                    ","2016-07-27T23:59:50      "
"2003","#enough                       ","2016-07-27T23:59:50      "
"2006","#demsinphilly                 ","2016-07-27T23:54:06      "
"2008","#pulse                        ","2016-07-27T23:46:43      "
"2008","#lgbt                         ","2016-07-27T23:46:43      "
"2009","#demsinphilly                 ","2016-07-27T23:44:05      "
"2010","#demsinphilly                 ","2016-07-27T23:43:01      "
"2011","#demsinphilly                 ","2016-07-27T23:32:09      "
"2013","#demsinphilly                 ","2016-07-27T23:09:28      "
"2015","#dncinphl                     ","2016-07-27T23:03:28      "
"2015","#demsinphilly                 ","2016-07-27T23:03:28      "
"2017","#demsinphilly                 ","2016-07-27T22:54:18      "
"2021","#makeamericagreatagain        ","2016-07-27T21:57:24      "
"2022","#demsinphilly                 ","2016-07-27T21:20:08      "
"2023","#demconvention                ","2016-07-27T20:32:24      "
"2027","#maga                         ","2016-07-27T19:12:47      "
"2034","#makeamericagreatagain        ","2016-07-27T16:34:54      "
"2039","#demsinphl                    ","2016-07-27T13:01:03      "
"2049","#demsinphilly                 ","2016-07-27T03:01:04      "
"2049","#strongertogether             ","2016-07-27T03:01:04      "
"2074","#demconvention                ","2016-07-27T02:08:50      "
"2079","#demsinphilly                 ","2016-07-27T01:51:45      "
"2084","#demsinphilly                 ","2016-07-27T00:41:00      "
"2092","#wemadehistory                ","2016-07-26T22:55:17      "
"2097","#rollcallvote                 ","2016-07-26T22:15:07      "
"2098","#rollcallvote                 ","2016-07-26T21:55:43      "
"2099","#wemadehistory                ","2016-07-26T21:40:34      "
"2100","#demsinphilly                 ","2016-07-26T21:37:51      "
"2100","#imwithher                    ","2016-07-26T21:37:51      "
"2104","#demsinphilly                 ","2016-07-26T21:17:03      "
